top - 08:56:38 up 37 min,  1 user,  load average: 0.26, 0.26, 0.23
Tasks: 148 total,   2 running, 146 sleeping,   0 stopped,   0 zombie
%Cpu(s): 37.5 us,  0.0 sy,  0.0 ni, 62.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3947.0 total,   1195.4 free,   1073.6 used,   1678.0 buff/cache
MiB Swap:   4094.0 total,   4094.0 free,      0.0 used.   2636.9 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 1173 debian1   39  19  512552  22136  14400 S   0.0   0.5   0:00.06 tracker-miner-f
 1190 debian1   20   0  452016  24788  12356 S   0.0   0.6   0:00.09 tracker-store
 1191 debian1   20   0   25920    360      0 S   0.0   0.0   0:00.00 VBoxClient
 1194 debian1   20   0  158172   2696   2328 S   0.0   0.1   0:00.00 VBoxClient
 1204 debian1   20   0   25920    360      0 S   0.0   0.0   0:00.00 VBoxClient
 1207 debian1   20   0  158692   2640   2276 S   0.0   0.1   0:02.00 VBoxClient
 1217 debian1   20   0   25920    360      0 S   0.0   0.0   0:00.00 VBoxClient
 1220 root      20   0   85860    904    792 S   0.0   0.0   0:00.00 VBoxDRMClient
 1269 root      20   0  385920  25864  20892 S   0.0   0.6   0:00.07 fwupd
 1456 root      20   0    9488   6088   4804 S   0.0   0.2   0:00.00 dhclient
 1476 debian1   20   0  164788   6000   5400 S   0.0   0.1   0:00.00 gvfsd-metadata
 1511 debian1   20   0 4727264 135928  90692 S   0.0   3.4   0:04.56 code
 1515 debian1   20   0  200268  40824  33956 S   0.0   1.0   0:00.01 code
 1516 debian1   20   0  200268  40880  34036 S   0.0   1.0   0:00.01 code
 1549 debian1   20   0  273784  59696  49360 S   0.0   1.5   0:00.51 code
 1558 debian1   20   0  282260  66924  49640 S   0.0   1.7   0:07.13 code
 1599 debian1   20   0    7924   4508   3200 S   0.0   0.1   0:00.00 bash
 1602 debian1   20   0 4558808 131360  55508 S   0.0   3.3   0:02.91 code
 1617 debian1   20   0 4473752  67472  47444 S   0.0   1.7   0:00.27 code
 1633 debian1   20   0 4635964 114564  87452 S   0.0   2.8   0:04.57 code
 1848 debian1   20   0    8808   5640   3624 S   0.0   0.1   0:00.06 bash
 2027 debian1   20   0  355448  11772  10380 S   0.0   0.3   0:00.00 gvfsd-http
 2934 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u2:0
 3170 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/0:2-events
 3286 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0-ata_sff
 3327 debian1   20   0   11160   3484   3104 R   0.0   0.1   0:00.00 top
